iter	Passed	Remaining
0	24	2436
1	50	2467
2	71	2310
3	96	2316
4	125	2386
5	153	2406
6	183	2439
7	209	2405
8	234	2374
9	258	2328
10	284	2301
11	308	2262
12	338	2262
13	363	2233
14	387	2195
15	414	2173
16	431	2108
17	455	2077
18	481	2054
19	506	2024
20	533	2005
21	560	1985
22	584	1956
23	610	1934
24	638	1914
25	664	1892
26	690	1865
27	715	1840
28	743	1820
29	767	1791
30	793	1766
31	818	1738
32	846	1719
33	872	1693
34	897	1666
35	922	1639
36	948	1614
37	976	1592
38	1000	1564
39	1026	1539
40	1050	1511
41	1078	1489
42	1105	1465
43	1133	1442
44	1162	1421
45	1193	1401
46	1208	1362
47	1234	1337
48	1263	1315
49	1293	1293
50	1317	1265
51	1331	1229
52	1375	1219
53	1400	1192
54	1426	1166
55	1449	1139
56	1475	1113
57	1502	1087
58	1527	1061
59	1553	1035
60	1577	1008
61	1604	983
62	1629	956
63	1655	931
64	1697	913
65	1771	912
66	1822	897
67	1870	880
68	1956	878
69	1993	854
70	2040	833
71	2066	803
72	2092	774
73	2120	745
74	2149	716
75	2172	686
76	2199	656
77	2224	627
78	2250	598
79	2274	568
80	2300	539
81	2326	510
82	2354	482
83	2381	453
84	2405	424
85	2433	396
86	2457	367
87	2483	338
88	2507	309
89	2534	281
90	2562	253
91	2586	224
92	2612	196
93	2638	168
94	2664	140
95	2690	112
96	2716	84
97	2745	56
98	2769	27
99	2795	0
