iter	Logloss
0	0.6525432793
1	0.6166592472
2	0.5898303519
3	0.5632044122
4	0.542499419
5	0.5245373593
6	0.508081201
7	0.4933585397
8	0.4805051648
9	0.467316841
10	0.4565640077
11	0.4458341441
12	0.4336308556
13	0.4220574924
14	0.4105701934
15	0.3988341114
16	0.390533234
17	0.380513725
18	0.3722123123
19	0.3658504804
20	0.3591547269
21	0.353784029
22	0.3479491791
23	0.3446828483
24	0.3406246296
25	0.3373481614
26	0.3335807199
27	0.3297750273
28	0.3269449587
29	0.324730848
30	0.3221177096
31	0.3195621725
32	0.3168989908
33	0.3150620428
34	0.3129792702
35	0.3110591096
36	0.3091190537
37	0.3078753264
38	0.3068882678
39	0.3058526015
40	0.3048372457
41	0.3029039866
42	0.3012781963
43	0.2990730859
44	0.2979324495
45	0.2970107048
46	0.2967447589
47	0.295920838
48	0.2955149809
49	0.2946545231
50	0.2931247887
51	0.2924962915
52	0.2916246837
53	0.2892159809
54	0.2882486176
55	0.2870547557
56	0.2858732072
57	0.2848313365
58	0.2838527208
59	0.2831288298
60	0.2823024006
61	0.281609653
62	0.2803806308
63	0.2787013401
64	0.27828486
65	0.2766817101
66	0.2761929266
67	0.2751076918
68	0.2741271356
69	0.2730605901
70	0.2713486291
71	0.2699783015
72	0.2691769759
73	0.2678016299
74	0.2668090524
75	0.2663645464
76	0.265705799
77	0.2648542039
78	0.2638983668
79	0.2630509379
80	0.2623174232
81	0.2616191494
82	0.2611651205
83	0.260059739
84	0.2594786201
85	0.2592462027
86	0.2587512894
87	0.2578769686
88	0.2573638295
89	0.2563529256
90	0.2558675192
91	0.2555151168
92	0.2544193306
93	0.2536197842
94	0.2526946435
95	0.251823281
96	0.2512514256
97	0.250794547
98	0.2500025
99	0.2495039311
