iter	RMSE
0	0.156785237
1	0.1518173826
2	0.1472135862
3	0.1433655887
4	0.1395028859
5	0.1357982381
6	0.1320510886
7	0.1281388048
8	0.1244131614
9	0.1215247551
10	0.1183541837
11	0.1151152142
12	0.112476134
13	0.1096316967
14	0.1073982147
15	0.1050656849
16	0.1025184619
17	0.1000521282
18	0.09780994417
19	0.09579911265
20	0.09359948492
21	0.09159063169
22	0.08987674615
23	0.08820834692
24	0.08643581622
25	0.08485928415
26	0.08347684266
27	0.082169701
28	0.08094389864
29	0.07941928462
30	0.07799469928
31	0.07689013369
32	0.07573320967
33	0.07446740863
34	0.07341083698
35	0.07230421607
36	0.07130381801
37	0.07029365259
38	0.06921061368
39	0.06835975554
40	0.06748099328
41	0.06652283886
42	0.06580303739
43	0.06517484459
44	0.06435436074
45	0.06358666835
46	0.06287520995
47	0.062182786
48	0.06152740884
49	0.06079879046
50	0.06021991216
51	0.05961405491
52	0.05907072174
53	0.05849565835
54	0.0578830653
55	0.05735404571
56	0.05684484248
57	0.05635370492
58	0.05586722729
59	0.05543507251
60	0.05498186505
61	0.05456710268
62	0.05415548947
63	0.05365594373
64	0.05316547665
65	0.05281704048
66	0.05247963282
67	0.05206792929
68	0.05170794193
69	0.05130675312
70	0.05103396826
71	0.05065624041
72	0.05039247104
73	0.05010095134
74	0.04977728355
75	0.04954365854
76	0.04927038166
77	0.04902095994
78	0.04873507991
79	0.04849607007
80	0.04826053943
81	0.04798683606
82	0.04779018625
83	0.04753461347
84	0.04723524228
85	0.046977845
86	0.04672532402
87	0.04647026174
88	0.04620137531
89	0.04596093543
90	0.04578021014
91	0.04557107213
92	0.04535904662
93	0.0451591145
94	0.04495768045
95	0.04478085222
96	0.04456860466
97	0.04436762121
98	0.04421359846
99	0.04402306518
100	0.0437781784
101	0.04361736826
102	0.04346683196
103	0.04326801458
104	0.04310384377
105	0.04292301246
106	0.04273180959
107	0.04260496356
108	0.04241276721
109	0.04225942703
110	0.0420859075
111	0.04189494792
112	0.04172551406
113	0.04155473135
114	0.04137730288
115	0.04122828593
116	0.04105863028
117	0.04090489662
118	0.04076450771
119	0.04061485913
120	0.04048627121
121	0.04034884046
122	0.04019858562
123	0.0400665866
124	0.03995376853
125	0.03979847906
126	0.03965785605
127	0.03951542238
128	0.03932545496
129	0.03919989928
130	0.03907714471
131	0.03893431881
132	0.03881125292
133	0.03871651039
134	0.03861561294
135	0.03846985657
136	0.03837571383
137	0.03826421413
138	0.03815990648
139	0.03805042949
140	0.03794813008
141	0.0378648525
142	0.03770554984
143	0.03762423791
144	0.03750122526
145	0.03736806275
146	0.03725582434
147	0.03714511123
148	0.03699469147
149	0.03684915811
150	0.03672508352
151	0.03661344478
152	0.03649546673
153	0.03639682866
154	0.03630939201
155	0.03618826329
