iter	Passed	Remaining
184	7015	11944
185	7052	11906
186	7082	11855
187	7112	11803
188	7142	11753
189	7172	11702
190	7214	11671
191	7248	11627
192	7280	11580
193	7310	11530
194	7340	11481
195	7381	11449
196	7411	11399
197	7443	11353
198	7474	11306
199	7511	11267
200	7546	11225
201	7578	11180
202	7608	11132
203	7643	11091
204	7684	11058
205	7712	11007
206	7744	10962
207	7776	10916
208	7820	10889
209	7854	10846
210	7885	10800
211	7915	10753
212	7951	10713
213	7991	10680
214	8021	10632
215	8052	10586
216	8082	10541
217	8121	10505
218	8152	10460
219	8184	10416
220	8214	10370
221	8249	10330
222	8286	10292
223	8316	10247
224	8347	10203
225	8381	10161
226	8417	10123
227	8449	10080
228	8479	10035
229	8509	9989
230	8546	9952
231	8581	9912
232	8611	9867
233	8647	9829
234	8678	9786
235	8718	9752
236	8748	9708
237	8784	9670
238	8815	9627
239	8845	9582
240	8889	9553
241	8922	9512
242	8954	9470
243	8985	9427
244	9024	9392
245	9056	9350
246	9087	9307
247	9116	9263
248	9151	9225
249	9186	9186
250	9218	9145
251	9248	9101
252	9278	9058
253	9319	9025
254	9350	8983
255	9383	8944
256	9417	8904
257	9453	8867
258	9489	8830
259	9523	8790
260	9554	8749
261	9586	8708
262	9620	8669
263	9666	8640
264	9698	8600
265	9731	8561
266	9768	8524
267	9812	8494
268	9844	8454
269	9874	8411
270	9909	8373
271	9948	8339
272	9979	8297
273	10006	8253
274	10035	8210
275	10065	8169
276	10104	8134
277	10132	8091
278	10162	8049
279	10192	8008
280	10229	7972
281	10261	7932
282	10293	7893
283	10326	7853
284	10355	7812
285	10393	7776
286	10425	7737
287	10458	7698
288	10488	7657
289	10524	7621
290	10562	7586
291	10592	7545
292	10623	7505
293	10655	7465
294	10688	7427
295	10727	7393
296	10760	7354
297	10793	7316
298	10825	7277
299	10869	7246
300	10901	7207
301	10932	7167
302	10962	7127
303	10999	7091
304	11034	7055
305	11064	7014
306	11094	6975
307	11127	6936
308	11168	6903
309	11200	6864
310	11232	6826
311	11263	6787
312	11297	6749
313	11333	6713
314	11364	6674
315	11397	6636
316	11429	6598
317	11470	6564
318	11502	6526
319	11533	6487
320	11563	6448
321	11598	6411
322	11638	6377
323	11669	6339
324	11700	6300
325	11733	6262
326	11777	6230
327	11811	6193
328	11842	6155
329	11873	6116
330	11909	6080
331	11946	6044
332	11975	6005
333	12006	5967
334	12040	5930
335	12078	5895
336	12110	5857
337	12144	5820
338	12174	5782
339	12206	5744
340	12244	5709
341	12274	5670
342	12306	5632
343	12337	5595
344	12369	5557
345	12407	5522
346	12437	5484
347	12467	5445
348	12502	5409
349	12533	5371
350	12571	5336
351	12601	5298
352	12635	5261
353	12666	5224
354	12706	5190
355	12744	5154
356	12777	5118
357	12809	5080
358	12838	5042
359	12876	5007
360	12912	4971
361	12943	4934
362	12971	4895
363	13002	4857
364	13041	4823
365	13073	4786
366	13104	4749
367	13134	4711
368	13165	4673
369	13206	4640
370	13235	4602
371	13266	4564
372	13299	4528
373	13333	4492
374	13368	4456
375	13399	4418
376	13430	4381
377	13461	4344
378	13505	4311
379	13537	4275
380	13572	4239
381	13607	4203
382	13650	4169
383	13682	4133
384	13715	4096
385	13751	4061
386	13784	4024
387	13818	3988
388	13849	3951
389	13878	3914
390	13907	3876
391	13942	3841
392	13973	3804
393	14004	3767
394	14034	3730
395	14062	3693
396	14101	3658
397	14129	3621
398	14156	3583
399	14186	3546
400	14217	3509
401	14253	3474
402	14282	3437
403	14314	3401
404	14341	3364
405	14369	3326
406	14410	3292
407	14436	3255
408	14468	3219
409	14498	3182
410	14529	3146
411	14566	3111
412	14597	3074
413	14628	3038
414	14658	3002
415	14692	2966
416	14733	2932
417	14762	2896
418	14792	2859
419	14819	2822
420	14858	2788
421	14888	2751
422	14918	2715
423	14945	2678
424	14977	2643
425	15016	2608
426	15044	2572
427	15074	2535
428	15105	2499
429	15138	2464
430	15170	2428
431	15201	2392
432	15228	2356
433	15258	2320
434	15298	2285
435	15325	2249
436	15354	2213
437	15384	2177
438	15414	2141
439	15453	2107
440	15482	2071
441	15513	2035
442	15540	1999
443	15575	1964
444	15611	1929
445	15641	1893
446	15672	1858
447	15705	1822
448	15745	1788
449	15776	1752
450	15804	1717
451	15834	1681
452	15864	1646
453	15901	1611
454	15929	1575
455	15960	1540
456	15990	1504
457	16019	1469
458	16056	1434
459	16083	1398
460	16112	1363
461	16143	1327
462	16177	1292
463	16209	1257
464	16239	1222
465	16267	1186
466	16295	1151
467	16339	1117
468	16369	1081
469	16396	1046
470	16427	1011
471	16458	976
472	16498	941
473	16536	907
474	16565	871
475	16594	836
476	16638	802
477	16668	767
478	16705	732
479	16737	697
480	16768	662
481	16805	627
482	16835	592
483	16865	557
484	16893	522
485	16920	487
486	16955	452
487	16989	417
488	17018	382
489	17047	347
490	17077	313
491	17113	278
492	17140	243
493	17169	208
494	17198	173
495	17229	138
496	17270	104
497	17301	69
498	17340	34
499	17384	0
