iter	Logloss
0	0.6783800398
1	0.6650005886
2	0.6559942518
3	0.6495361328
4	0.6413898468
5	0.6351115091
6	0.6311042786
7	0.6255975451
8	0.6212663923
9	0.6180203029
10	0.6136332921
11	0.610017286
12	0.6079180036
13	0.6047932761
14	0.6023254939
15	0.5993755341
16	0.5966598511
17	0.5951970237
18	0.5932512556
19	0.5912790571
20	0.5893295288
21	0.5883099147
22	0.5858941214
23	0.5848309108
24	0.5831358228
25	0.5811877659
26	0.5793492998
27	0.5776580811
28	0.5767183576
29	0.5757026672
30	0.5750936236
31	0.5741046361
32	0.5730005537
33	0.5715077536
34	0.5698165894
35	0.568737902
36	0.567641122
37	0.5661234174
38	0.5653688158
39	0.5637247358
40	0.5624849592
41	0.561353847
42	0.5599115644
43	0.5588227408
44	0.5578822
45	0.5571961539
46	0.5562703269
47	0.5553252084
48	0.5542076111
49	0.552595193
50	0.5512379238
51	0.5503238133
52	0.5498724256
53	0.5484136309
54	0.5476231166
55	0.5469514574
56	0.5458983285
57	0.5441797529
58	0.5432677133
59	0.542250715
60	0.5410455976
61	0.5393045698
62	0.5376750401
63	0.5371116638
64	0.5361158098
65	0.5354978834
66	0.5344933646
67	0.5334543501
68	0.5324148451
69	0.5314809527
70	0.5304631914
71	0.5295705523
72	0.5282964979
73	0.5275815691
74	0.5266222273
75	0.5254748208
76	0.5246647426
77	0.5238523211
78	0.5229445321
79	0.5220186506
80	0.5210006714
81	0.520060948
82	0.5182489668
83	0.5171888079
84	0.5162133353
85	0.5150611332
86	0.5140887669
87	0.5127946581
88	0.5118292672
89	0.5108124869
90	0.5091156006
91	0.5082243783
92	0.5072722299
93	0.5058929988
94	0.5047707149
95	0.503906577
96	0.5029901777
97	0.5013397762
98	0.5003954206
99	0.4996210916
100	0.4984824044
101	0.4966185434
102	0.4949293409
103	0.4936159406
104	0.4925172533
105	0.4914623805
106	0.490196991
107	0.4891464233
108	0.4883605957
109	0.4873600551
110	0.4861315046
111	0.4850428445
112	0.4841585977
113	0.4834512983
114	0.4823320116
115	0.4815001351
116	0.4803787776
117	0.4792063032
118	0.4783248901
119	0.4773274013
120	0.4758309501
121	0.4746948242
122	0.4738554273
123	0.472864369
124	0.4717036656
125	0.4703624725
126	0.468800245
127	0.4675036294
128	0.466620636
129	0.4650813511
130	0.4642959595
131	0.4630964007
132	0.4619986943
133	0.4609458923
134	0.4602480207
135	0.4591306414
136	0.4582112449
137	0.4572133745
138	0.4567402431
139	0.4556157248
140	0.4551293509
141	0.4537241799
142	0.4530313219
143	0.4523492541
144	0.4506540571
145	0.4494434902
146	0.4482661111
147	0.4472393308
148	0.4457596915
149	0.4447150639
150	0.4435399192
151	0.4429411479
152	0.4420702798
153	0.440993418
154	0.4399467468
155	0.4389570781
156	0.43761346
157	0.4368597848
158	0.4363079616
159	0.4357651302
160	0.435244642
161	0.4339630672
162	0.432799639
163	0.4322272164
164	0.431168202
165	0.4300648826
166	0.4288638796
167	0.4278163365
168	0.4265626635
169	0.4259201595
170	0.4251267842
171	0.4245545251
172	0.4233501434
173	0.4226709093
174	0.4216917038
175	0.4205274309
176	0.4190495082
177	0.4183085305
178	0.4178419113
179	0.4170411791
180	0.4160534178
181	0.4152183805
182	0.4144802911
183	0.4136225292
184	0.4129750933
185	0.4121525628
186	0.4115272522
187	0.4111939839
188	0.4101997648
189	0.4095133645
190	0.4092318399
191	0.4086711884
192	0.4077826364
193	0.4076014927
194	0.4070483889
195	0.4066473007
196	0.4057290213
197	0.405106926
198	0.4043190275
199	0.403726605
200	0.4023950849
201	0.4015445437
202	0.4009423937
203	0.4000053406
204	0.3989431109
205	0.398343059
206	0.3977265222
207	0.3969909668
208	0.3961850303
209	0.3950998851
210	0.394314112
211	0.3935463497
212	0.3929458073
213	0.3921600342
214	0.3914033617
215	0.3907039642
216	0.3898320879
217	0.3891268594
218	0.3885143008
219	0.3874516078
220	0.3871135984
221	0.3860842569
222	0.3857593536
223	0.3852691105
224	0.3842586517
225	0.3834823881
226	0.3827562332
227	0.3820801871
228	0.3815937315
229	0.381073979
230	0.3802048274
231	0.3794781004
232	0.3790244239
233	0.3783293315
234	0.3776260376
235	0.3768010821
236	0.3764533452
237	0.3759986332
238	0.3753366743
239	0.3747872489
240	0.3742996488
241	0.3732579912
242	0.3727701187
243	0.3720925195
244	0.371182578
245	0.3703248433
246	0.3693049295
247	0.368769346
248	0.3676573345
249	0.3668490274
250	0.3662284579
251	0.3658347539
252	0.3652774538
253	0.3645029613
254	0.3636648723
255	0.3627951213
256	0.3620436805
257	0.361712919
258	0.3609441212
259	0.3602958952
260	0.359425245
261	0.359021977
262	0.3584709985
263	0.3579732622
264	0.3573298863
265	0.3569011961
266	0.3563528061
267	0.3554921559
268	0.3550472804
269	0.3543083463
270	0.3536611829
271	0.3529492242
272	0.3517694201
273	0.3510407857
274	0.3501941681
275	0.3493931634
276	0.3487043381
277	0.3479926518
278	0.3473802294
279	0.3467567444
280	0.3463235855
281	0.3454936709
282	0.344915935
283	0.3444642748
284	0.3438910893
285	0.3434882845
286	0.3431018829
287	0.3424916676
288	0.3419191088
289	0.3415416718
290	0.3411001478
291	0.3404915401
292	0.3398294994
293	0.3392144067
294	0.3384955815
295	0.3379546574
296	0.3376082284
297	0.3367283957
298	0.3363604954
299	0.3359697069
