iter	Passed	Remaining
0	11	3302
1	20	3077
2	26	2577
3	30	2285
4	39	2355
5	47	2335
6	56	2379
7	64	2346
8	71	2307
9	78	2279
10	87	2311
11	95	2289
12	104	2309
13	114	2336
14	122	2327
15	130	2318
16	139	2315
17	153	2398
18	160	2374
19	167	2348
20	177	2354
21	188	2377
22	197	2378
23	208	2392
24	217	2388
25	224	2365
26	233	2365
27	241	2343
28	250	2341
29	262	2362
30	269	2338
31	280	2350
32	288	2337
33	298	2336
34	306	2321
35	320	2353
36	332	2365
37	341	2357
38	348	2335
39	357	2321
40	364	2301
41	372	2286
42	380	2276
43	388	2261
44	397	2251
45	404	2235
46	414	2228
47	424	2226
48	431	2208
49	441	2208
50	448	2190
51	462	2204
52	469	2189
53	478	2179
54	488	2176
55	498	2169
56	508	2167
57	518	2163
58	528	2159
59	538	2155
60	545	2139
61	553	2125
62	560	2109
63	569	2098
64	576	2085
65	585	2076
66	593	2063
67	607	2073
68	615	2059
69	625	2055
70	638	2060
71	648	2052
72	655	2038
73	662	2024
74	672	2016
75	679	2003
76	688	1994
77	696	1981
78	704	1972
79	712	1959
80	721	1951
81	731	1943
82	739	1932
83	749	1927
84	756	1913
85	765	1905
86	773	1894
87	786	1895
88	796	1889
89	804	1877
90	815	1872
91	822	1858
92	830	1848
93	840	1842
94	847	1829
95	854	1816
96	864	1809
97	871	1796
98	881	1790
99	889	1778
100	903	1780
101	913	1772
102	921	1762
103	935	1762
104	945	1756
105	952	1743
106	962	1736
107	969	1723
108	978	1715
109	985	1702
110	995	1695
111	1003	1684
112	1012	1676
113	1020	1665
114	1030	1657
115	1038	1647
116	1053	1648
117	1064	1641
118	1076	1638
119	1084	1626
120	1093	1617
121	1102	1608
122	1110	1598
123	1120	1590
124	1128	1579
125	1137	1570
126	1146	1561
127	1157	1555
128	1164	1543
129	1174	1536
130	1183	1527
131	1192	1517
132	1205	1513
133	1218	1509
134	1227	1500
135	1238	1493
136	1248	1485
137	1255	1473
138	1265	1466
139	1272	1454
140	1283	1446
141	1290	1435
142	1300	1427
143	1307	1416
144	1317	1408
145	1325	1398
146	1339	1394
147	1350	1386
148	1357	1376
149	1369	1369
150	1382	1363
151	1393	1356
152	1401	1346
153	1410	1336
154	1417	1326
155	1426	1316
156	1433	1305
157	1440	1294
158	1450	1286
159	1459	1277
160	1467	1266
161	1481	1261
162	1489	1252
163	1498	1242
164	1511	1236
165	1520	1227
166	1527	1216
167	1535	1206
168	1543	1196
169	1553	1188
170	1562	1178
171	1570	1168
172	1579	1159
173	1586	1149
174	1595	1139
175	1604	1130
176	1613	1121
177	1623	1112
178	1630	1102
179	1639	1092
180	1652	1086
181	1663	1078
182	1674	1070
183	1682	1060
184	1692	1051
185	1699	1041
186	1708	1032
187	1716	1022
188	1724	1012
189	1731	1002
190	1740	993
191	1747	983
192	1757	974
193	1768	966
194	1775	956
195	1785	947
196	1792	937
197	1803	928
198	1810	918
199	1822	911
200	1830	901
201	1839	892
202	1850	884
203	1864	877
204	1871	867
205	1881	858
206	1888	848
207	1898	839
208	1905	829
209	1913	820
210	1921	810
211	1930	801
212	1938	791
213	1947	782
214	1955	773
215	1965	764
216	1980	757
217	1987	747
218	1998	739
219	2008	730
220	2018	721
221	2026	711
222	2035	702
223	2042	693
224	2051	683
225	2059	674
226	2069	665
227	2078	656
228	2085	646
229	2096	638
230	2103	628
231	2112	619
232	2120	609
233	2130	600
234	2137	591
235	2150	583
236	2164	575
237	2172	565
238	2182	556
239	2194	548
240	2203	539
241	2212	530
242	2219	520
243	2229	511
244	2237	502
245	2246	493
246	2254	483
247	2263	474
248	2271	465
249	2280	456
250	2290	447
251	2297	437
252	2305	428
253	2312	418
254	2321	409
255	2329	400
256	2338	391
257	2354	383
258	2367	374
259	2377	365
260	2388	356
261	2395	347
262	2402	337
263	2412	328
264	2419	319
265	2429	310
266	2437	301
267	2446	292
268	2454	282
269	2463	273
270	2471	264
271	2485	255
272	2493	246
273	2500	237
274	2511	228
275	2520	219
276	2531	210
277	2541	201
278	2548	191
279	2557	182
280	2565	173
281	2574	164
282	2582	155
283	2590	145
284	2600	136
285	2609	127
286	2617	118
287	2625	109
288	2639	100
289	2647	91
290	2657	82
291	2670	73
292	2679	64
293	2689	54
294	2700	45
295	2708	36
296	2717	27
297	2724	18
298	2735	9
299	2742	0
